지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2016-01-17,2.8,-1.9,1,7.6,1352,,,,,,1.4,4.2,50,1324,2.5,20,1343,.7,634,20,-2.3,43,1507,71.1,5.3,1012.5,1022.3,1,1010.7,2400,1016.3,10.1,0,1100,.49,2.1,,,,,,,,2,-4.9,,,,,,,,,,,,1.4,,
192,진주,2016-01-18,.7,-4,2327,5,1047,,,,,,,11.1,270,1642,4.9,340,1504,2.1,1815,340,-8.7,30,1158,53,3.5,1008.6,1017,2156,1009,510,1012.4,10.1,7.5,1300,1.31,7.34,,,,,,,,2.5,-7.3,,,,,,,,,,,,,,
192,진주,2016-01-19,-3,-5.8,753,-.2,1337,,,,,,,13.7,20,2029,7.4,340,1828,3.7,3211,340,-17.5,23,1135,32,1.6,1015.7,1024.7,2356,1016.9,3,1019.6,10.1,8.9,1200,1.48,8.97,,,,,,,,-.4,-9.4,,,,,,,,,,,,,,
192,진주,2016-01-20,-3.8,-8.2,607,1.6,1412,,,,,,,7.1,360,129,3.7,20,146,1.2,1053,20,-16.8,17,1402,37.6,1.7,1024.1,1030.7,955,1024.4,17,1028,10.2,5.2,1100,1.03,5.46,,,,,,,,-2.4,-12.7,,,,,,,,,,,,,,
192,진주,2016-01-21,-2.1,-6.6,336,2.9,1547,,,,,,,6.4,320,1816,3.3,360,2113,1.2,1072,360,-16.6,12,1606,33.9,1.7,1022.6,1028.5,58,1023.8,1544,1026.4,10.2,1.1,1200,.76,4.31,,,,,,,,-.8,-8.1,,,,,,,,,,,,,,
192,진주,2016-01-22,-.9,-7.9,652,5.6,1433,,,,,,,6.9,360,1711,3.6,360,1717,1.6,1389,50,-19.2,10,1448,26.8,1.4,1024.6,1030.2,815,1026.7,1427,1028.4,10.2,7.4,1200,1.36,7.78,,,,,,,,-.5,-11.8,,,,,,,,,,,,,,
192,진주,2016-01-23,-3.8,-8.9,2327,-.2,1343,,,,,,,10.3,290,1550,5.3,360,1525,2.7,2340,360,-20.3,13,148,27.9,1.3,1023.8,1029.8,20,1025.1,1431,1027.7,10.2,6.4,1200,1.28,7.15,,,,,,,,-.7,-10.6,,,,,,,,,,,,.5,,
192,진주,2016-01-24,-8.3,-10.2,2359,-5.4,1535,,,,,,.5,11.6,340,1419,6.4,340,1427,2.1,1814,340,-18.9,23,1244,45.1,1.5,1020.4,1028.3,2333,1022.2,1325,1024.4,10.2,7.2,1300,1.5,7.69,,,,,,,,-2.7,-13.5,,,,,,,,,,,,0,,
192,진주,2016-01-25,-5.3,-12.8,629,2.7,1430,,,,,,,7.8,360,1511,4.3,20,1541,1,834,360,-13.7,27,1415,56.1,2.1,1023.8,1029.2,901,1025.7,1454,1027.8,10.3,9.2,1200,1.47,9.45,,,,,,,,-1.9,-14.7,,,,,,,,,,,,,,
192,진주,2016-01-26,-3.2,-10.9,637,5.7,1444,,,,,,,7.5,250,1543,4.6,250,1604,.9,759,250,-10.6,28,1445,60.6,2.7,1023.8,1029.3,2232,1025.4,1352,1027.7,10.3,9.1,1300,1.43,8.53,,,,,,,,-.9,-14.2,,,,,,,,,,,,,,
